Version ID	Master ID	Skeletal code	Publication	Method for Determining Date (including any warnings)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Group ID	Locality	Country	Lat.	Long.	Data type	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex	Family ID and position within family	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mt haplogroup	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	SNP >=30000	Not questionable	 Not 1d relative of another high coverage sample	1240k data	UDG treated or modern or expected low damage due to diploid consensus calling	Coarse Subregion	Fine Subregion	Period	P-value for qpAdm (2-way model) (Balkan_N new)	EEF (2-way model)	EEF err. (2-way model)	P-value for qpAdm (3-way model)	WHG (3-way model)	EEF (3-way model)	Steppe (3-way model)	WHG err. (3-way model)	EEF err. (3-way model)	Steppe err. (3-way model)	Z-score for non-zero Steppe ancestry	Maximum P-value for 2-way and 3-way qpAdm	Filter 0: >=30000 SNPs, PASS assessment, relevant period, not a first degree relative of higher coverage individuals)	Filter 1: Filter 0 plus p>0.01 qpAdm 3-way or qpAdm 2-way	Filter 1 alternative: Version of Filter 1 but with subregional classifications in the Iron Age	"Filter 2: Filter 1 +  significant outliers by qpWave from other individuals of the comparison group that are not labeled as ""Ignore"" or  outlier; for ""Neolithic"" we also reject if Z>2.58 for steppe ancestry. We label all individuals where non-Ignore individuals are P<0.05 or less after the first is significant at P<0.005 as extreme outliers"	Filter 2 comparison group	P-values from main comparison group (from 1240k data when a 1240k sample, from all samples when a .SG sample)
HG01676.SG	HG01676	..	1KGPhase3	Modern	0	0	present	IBS.SG	Aragon	Spain	..	..	Shotgun	..	..	1139617	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.743	0.012	0.124032	0.131	0.553	0.316	0.013	0.016	0.02	15.8	0.124032	Use	Spain.Portugal_Modern	Spain_Modern	Spain.Portugal_Modern	Spain.Portugal_Modern	0.141039
HG01682.SG	HG01682	..	1KGPhase3	Modern	0	0	present	IBS.SG	Aragon	Spain	..	..	Shotgun	..	..	1128202	M	n/a (no relatives detected)	R-P312	R1b1a1b1a1a2	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.754	0.012	0.106859	0.132	0.559	0.309	0.013	0.016	0.018	17.2	0.106859	Use	Spain.Portugal_Modern	Spain_Modern	Spain.Portugal_Modern	Spain.Portugal_Modern	0.485142
HG01684.SG	HG01684	..	1KGPhase3	Modern	0	0	present	IBS.SG	Aragon	Spain	..	..	Shotgun	..	..	1130468	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.713	0.012	0.034777	0.141	0.518	0.342	0.014	0.015	0.018	19	0.034777	Use	Spain.Portugal_Modern	Spain_Modern	Spain.Portugal_Modern	Spain.Portugal_Modern	0.304315
HG01613.SG	HG01613	..	1KGPhase3	Modern	0	0	present	IBS.SG	Baleares	Spain	..	..	Shotgun	..	..	1136701	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.776	0.012	0.00043	0.083	0.555	0.362	0.013	0.015	0.018	20.1	0.00043	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_lowWHG	Spain.Portugal_Modern	0
HG01615.SG	HG01615	..	1KGPhase3	Modern	0	0	present	IBS.SG	Baleares	Spain	..	..	Shotgun	..	..	1126277	M	n/a (no relatives detected)	R-P312	R1b1a1b1a1a2	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.762	0.012	0	0.102	0.544	0.354	0.014	0.016	0.019	18.6	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_lowWHG	Spain.Portugal_Modern	0.000221
HG01625.SG	HG01625	..	1KGPhase3	Modern	0	0	present	IBS.SG	Baleares	Spain	..	..	Shotgun	..	..	1132994	M	n/a (no relatives detected)	R-L562	R1b1a1b1a1a2b1c1a1	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.759	0.012	0.000455	0.1	0.539	0.36	0.012	0.015	0.018	20	0.000455	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_lowWHG	Spain.Portugal_Modern	0.001391
HG01626.SG	HG01626	..	1KGPhase3	Modern	0	0	present	IBS.SG	Baleares	Spain	..	..	Shotgun	..	..	1124294	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.784	0.012	0	0.073	0.574	0.352	0.013	0.015	0.018	19.6	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_highEEF	Spain.Portugal_Modern	0
HG01631.SG	HG01631	..	1KGPhase3	Modern	0	0	present	IBS.SG	Baleares	Spain	..	..	Shotgun	..	..	1146389	M	n/a (no relatives detected)	R-DF17	R1b1a1b1a1a2a1a2	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.751	0.012	0.006895	0.13	0.568	0.302	0.013	0.016	0.019	15.9	0.006895	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_highEEF	Spain.Portugal_Modern	0.152357
HG01632.SG	HG01632	..	1KGPhase3	Modern	0	0	present	IBS.SG	Baleares	Spain	..	..	Shotgun	..	..	1141716	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.763	0.012	0.001381	0.112	0.562	0.326	0.013	0.016	0.018	18.1	0.001381	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_highEEF	Spain.Portugal_Modern	0.002637
HG01670.SG	HG01670	..	1KGPhase3	Modern	0	0	present	IBS.SG	Baleares	Spain	..	..	Shotgun	..	..	1101522	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.767	0.012	0.000425	0.108	0.575	0.317	0.013	0.016	0.019	16.7	0.000425	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_highEEF	Spain.Portugal_Modern	0.008596
HG01672.SG	HG01672	..	1KGPhase3	Modern	0	0	present	IBS.SG	Baleares	Spain	..	..	Shotgun	..	..	1089383	M	n/a (no relatives detected)	J-L25	J2a1a4b	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.747	0.012	0.001572	0.125	0.534	0.341	0.013	0.016	0.019	17.9	0.001572	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.026299
HG01694.SG	HG01694	..	1KGPhase3	Modern	0	0	present	IBS_o2.SG	Canarias	Spain	..	..	Shotgun	..	..	1134473	M	n/a (no relatives detected)	R-Z225	R1b1a1b1a1a2a	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.747	0.012	0	0.105	0.535	0.36	0.014	0.016	0.02	18	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0
HG01695.SG	HG01695	..	1KGPhase3	Modern	0	0	present	IBS_o2.SG	Canarias	Spain	..	..	Shotgun	..	..	1132812	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.761	0.012	0	0.095	0.563	0.342	0.013	0.015	0.018	19	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_highEEF	Spain.Portugal_Modern	0
HG01513.SG	HG01513	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cantabria	Spain	..	..	Shotgun	..	..	1121125	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.738	0.012	0.000373	0.142	0.546	0.312	0.013	0.016	0.019	16.4	0.000373	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.032944
HG01679.SG	HG01679	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cantabria	Spain	..	..	Shotgun	..	..	1139677	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.756	0.012	0.000731	0.114	0.557	0.329	0.013	0.016	0.019	17.3	0.000731	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0.004199
HG01680.SG	HG01680	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cantabria	Spain	..	..	Shotgun	..	..	1140314	M	n/a (no relatives detected)	E-PF2546	E1b1b1b1a1	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.753	0.012	0.000317	0.118	0.534	0.348	0.013	0.016	0.018	19.3	0.000317	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.120994
HG01770.SG	HG01770	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cantabria	Spain	..	..	Shotgun	..	..	1149965	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.753	0.012	0.00018	0.11	0.554	0.336	0.013	0.016	0.02	16.8	0.00018	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.034584
HG01512.SG	HG01512	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cantabria	Spain	..	..	Shotgun	..	..	1115996	M	n/a (no relatives detected)	G-Y65	G2a2b2a1a1c1a1a2	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.74	0.011	0.030466	0.144	0.528	0.327	0.012	0.016	0.018	18.2	0.030466	Use	Spain.Portugal_Modern	Spain_Modern	Spain.Portugal_Modern	Spain.Portugal_Modern	0.578109
HG01771.SG	HG01771	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cantabria	Spain	..	..	Shotgun	..	..	1149912	M	n/a (no relatives detected)	R-P312	R1b1a1b1a1a2	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.724	0.012	0.031522	0.14	0.522	0.338	0.013	0.016	0.019	17.8	0.031522	Use	Spain.Portugal_Modern	Spain_Modern	Spain.Portugal_Modern	Spain.Portugal_Modern	0.294946
HG01746.SG	HG01746	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla la Mancha	Spain	..	..	Shotgun	..	..	1139495	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.724	0.012	0.002765	0.121	0.544	0.335	0.014	0.016	0.019	17.6	0.002765	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.021163
HG01747.SG	HG01747	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla la Mancha	Spain	..	..	Shotgun	..	..	1142914	M	n/a (no relatives detected)	R-CTS4188	R1b1a1b1a1a2a1b3	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.739	0.012	0.000005	0.117	0.537	0.346	0.014	0.016	0.019	18.2	0.000005	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0.000363
HG02238.SG	HG02238	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla la Mancha	Spain	..	..	Shotgun	..	..	1140755	M	n/a (no relatives detected)	R-S264	R1b1a1b1a1a1c1	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.733	0.012	0	0.134	0.544	0.322	0.014	0.016	0.019	16.9	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0.00101
HG02239.SG	HG02239	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla la Mancha	Spain	..	..	Shotgun	..	..	1139403	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.77	0.011	0	0.08	0.551	0.369	0.013	0.015	0.018	20.5	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_lowWHG	Spain.Portugal_Modern	0
S_Spanish-1.DG	HG01503	HG01503	MallickNature2016	Modern	0	0	present	Spanish.DG	Castilla la Mancha	Spain	39.9	-4	Shotgun.diploid	1	35.67	1119081	M	n/a (no relatives detected)	R-A4945	R1b1a1b1a1a2c1a4b2d1a~	..	n/a (modern)	S_Spanish-1	PASS	SGDP, Fully Public	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.758	0.011	0.000531	0.115	0.53	0.356	0.012	0.016	0.018	19.8	0.000531	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.124279
S_Spanish-2.DG	HG01504	HG01504	MallickNature2016	Modern	0	0	present	Spanish.DG	Castilla la Mancha	Spain	39.9	-4	Shotgun.diploid	1	42.97	1116531	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	S_Spanish-2	PASS	SGDP, Fully Public	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.772	0.011	0.000001	0.106	0.557	0.337	0.012	0.016	0.019	17.7	0.000001	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0.000017
HG01500.SG	HG01500	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla y Leon	Spain	..	..	Shotgun	..	..	1098946	M	n/a (no relatives detected)	R-Z2186	R1b1a1b1a1a2c1	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.756	0.013	0	0.09	0.531	0.379	0.014	0.016	0.02	19	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_lowWHG	Spain.Portugal_Modern	0
HG01501.SG	HG01501	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla y Leon	Spain	..	..	Shotgun	..	..	1094174	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.739	0.013	0	0.111	0.518	0.371	0.013	0.016	0.019	19.5	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0.000004
HG01506.SG	HG01506	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla y Leon	Spain	..	..	Shotgun	..	..	1125364	M	n/a (no relatives detected)	R-DF81	R1b1a1b1a1a2a7~	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.756	0.011	0.000006	0.114	0.54	0.346	0.013	0.016	0.018	19.2	0.000006	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0.002942
HG01507.SG	HG01507	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla y Leon	Spain	..	..	Shotgun	..	..	1110504	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.733	0.011	0.000371	0.109	0.524	0.366	0.013	0.015	0.018	20.3	0.000371	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.030459
HG01524.SG	HG01524	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla y Leon	Spain	..	..	Shotgun	..	..	1145400	M	n/a (no relatives detected)	R-Z209	R1b1a1b1a1a2a1a	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.741	0.012	0.009035	0.113	0.539	0.347	0.013	0.015	0.019	18.3	0.009035	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.076896
HG01525.SG	HG01525	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla y Leon	Spain	..	..	Shotgun	..	..	1143192	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.75	0.012	0	0.122	0.548	0.33	0.013	0.016	0.018	18.3	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0.000004
HG01602.SG	HG01602	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla y Leon	Spain	..	..	Shotgun	..	..	1131047	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.742	0.012	0	0.097	0.536	0.367	0.014	0.016	0.02	18.4	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_lowWHG	Spain.Portugal_Modern	0
HG01603.SG	HG01603	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla y Leon	Spain	..	..	Shotgun	..	..	1129318	M	n/a (no relatives detected)	R-Z214	R1b1a1b1a1a2a1a1a1	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.712	0.011	0	0.15	0.527	0.323	0.013	0.015	0.018	17.9	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.008438
HG01610.SG	HG01610	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla y Leon	Spain	..	..	Shotgun	..	..	1132402	M	n/a (no relatives detected)	I-L158	I2a1a1a	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.733	0.012	0	0.144	0.545	0.311	0.014	0.016	0.019	16.4	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0.00008
HG01612.SG	HG01612	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla y Leon	Spain	..	..	Shotgun	..	..	1137394	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.745	0.012	0	0.12	0.552	0.329	0.014	0.016	0.02	16.5	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0
HG01783.SG	HG01783	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla y Leon	Spain	..	..	Shotgun	..	..	1148732	M	n/a (no relatives detected)	R-P312	R1b1a1b1a1a2	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.764	0.013	0	0.115	0.537	0.348	0.013	0.017	0.019	18.3	0	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0.000001
HG01784.SG	HG01784	..	1KGPhase3	Modern	0	0	present	IBS.SG	Castilla y Leon	Spain	..	..	Shotgun	..	..	1149825	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.737	0.012	0.000954	0.139	0.558	0.302	0.013	0.015	0.018	16.8	0.000954	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.114998
HG01536.SG	HG01536	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cataluna	Spain	..	..	Shotgun	..	..	1145535	M	n/a (no relatives detected)	R-Z57	R1b1a1b1a1a2b1c1a1	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.724	0.012	0.000057	0.141	0.521	0.338	0.013	0.016	0.019	17.8	0.000057	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.068209
HG01537.SG	HG01537	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cataluna	Spain	..	..	Shotgun	..	..	1143995	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.729	0.012	0.006036	0.126	0.514	0.36	0.013	0.015	0.018	20	0.006036	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.361677
HG01761.SG	HG01761	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cataluna	Spain	..	..	Shotgun	..	..	1149946	M	n/a (no relatives detected)	R-CTS4188	R1b1a1b1a1a2a1b3	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.737	0.012	0.000001	0.146	0.558	0.296	0.014	0.016	0.02	14.8	0.000001	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0.001454
HG01762.SG	HG01762	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cataluna	Spain	..	..	Shotgun	..	..	1149846	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.741	0.012	0.001318	0.131	0.513	0.357	0.013	0.016	0.02	17.9	0.001318	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.267547
HG02220.SG	HG02220	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cataluna	Spain	..	..	Shotgun	..	..	1110085	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.747	0.011	0.000662	0.108	0.522	0.37	0.013	0.016	0.019	19.5	0.000662	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_o	Spain.Portugal_Modern	0.003081
HG02221.SG	HG02221	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cataluna	Spain	..	..	Shotgun	..	..	1126752	M	n/a (no relatives detected)	R-Z214	R1b1a1b1a1a2a1a1a1	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.757	0.012	0.000109	0.112	0.563	0.325	0.014	0.016	0.018	18.1	0.000109	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern_highEEF	Spain.Portugal_Modern	0.003819
HG02223.SG	HG02223	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cataluna	Spain	..	..	Shotgun	..	..	1078358	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.743	0.012	0.002043	0.118	0.534	0.348	0.013	0.015	0.019	18.3	0.002043	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.017687
HG02224.SG	HG02224	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cataluna	Spain	..	..	Shotgun	..	..	1072376	M	n/a (no relatives detected)	G-PF3346	G2a2b2a1a	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.742	0.011	0.175639	0.123	0.538	0.339	0.013	0.015	0.019	17.8	0.175639	Use	Spain.Portugal_Modern	Spain_Modern	Spain.Portugal_Modern	Spain.Portugal_Modern	0.678657
HG02230.SG	HG02230	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cataluna	Spain	..	..	Shotgun	..	..	1096052	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.734	0.011	0.019191	0.128	0.521	0.35	0.013	0.016	0.019	18.4	0.019191	Use	Spain.Portugal_Modern	Spain_Modern	Spain.Portugal_Modern	Spain.Portugal_Modern	0.47042
HG02231.SG	HG02231	..	1KGPhase3	Modern	0	0	present	IBS.SG	Cataluna	Spain	..	..	Shotgun	..	..	1121508	M	n/a (no relatives detected)	R-Z56	R1b1a1b1a1a2	..	n/a (modern)	..	PASS	..	1	1	1	0	1	Spain.Portugal	Spain	Modern	0	0.725	0.012	0.204059	0.122	0.527	0.351	0.014	0.015	0.019	18.5	0.204059	Use	Spain.Portugal_Modern	Spain_Modern	Spain.Portugal_Modern	Spain.Portugal_Modern	0.663081
