Index	Version ID	Master ID	Skeletal code	Skeletal element	Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Publication	Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Age at Death Estimate	Group ID	Locality	Country	Lat.	Long.	Data source	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Y haplogroup  in ISOGG v15.73 notation (automatically called)	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 or published	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e..1	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	Y haplogroup in terminal mutation notation (automatically called)	mt haplogroup	Method for Determining Date (including any warnings)	Data type	SNP >=30000	Not questionable	 Not 1d relative of another high coverage sample	1240k data	UDG treated or modern or expected low damage due to diploid consensus calling	Coarse Subregion	Fine Subregion	Period	P-value for qpAdm (2-way model) (Balkan_N new)	EEF (2-way model)	EEF err. (2-way model)	P-value for qpAdm (3-way model)	WHG (3-way model)	EEF (3-way model)	Steppe (3-way model)	WHG err. (3-way model)	EEF err. (3-way model)	Steppe err. (3-way model)	Z-score for non-zero Steppe ancestry	Maximum P-value for 2-way and 3-way qpAdm	Filter 0: >=30000 SNPs, PASS assessment, relevant period, not a first degree relative of higher coverage individuals)	Filter 1: Filter 0 plus p>0.01 qpAdm 3-way or qpAdm 2-way	Filter 1 alternative: Version of Filter 1 but with subregional classifications in the Iron Age	"Filter 2: Filter 1 +  significant outliers by qpWave from other individuals of the comparison group that are not labeled as ""Ignore"" or  outlier; for ""Neolithic"" we also reject if Z>2.58 for steppe ancestry. We label all individuals where non-Ignore individuals are P<0.05 or less after the first is significant at P<0.005 as extreme outliers"	Filter 2 comparison group	P-values from main comparison group (from 1240k data when a 1240k sample, from all samples when a .SG sample)
	SP4m	I13890	P1105; 7403			FowlerOlaldeNature2021		5600	173	3950-3350 BCE		England_N_Megalithic	England, Gloucestershire, Cheltenham, Hazleton North	United Kingdom	51.861211	-1.883011		1	3.655545	805304		M	United Kingdom, England, Gloucestershire, Cheltenham, Hazleton North Family A (2 members) (I13892-I13890 have a 2d or 3d relationship)	I2a1b1a1a1b																ds.half	S13890.Y1.E2.L1	PASS	..	I-L1193	T2e1	Context: Date(s) from same site (I13893, I21389, I13898, I13892)	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.368367	0.783	0.013	0.338345	0.211	0.77	0.019	0.015	0.016	0.017	1.1	0.368367	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N	England.and.Wales_N	0.531494
	SC6m	I13891	P1106; 11062			FowlerOlaldeNature2021		5526	36	3640-3528 calBCE (4800±25 BP, PSUAMS-9672)		England_N_Megalithic	England, Gloucestershire, Cheltenham, Hazleton North	United Kingdom	51.861211	-1.883011		1	1.327018	678401		M	n/a (no relatives detected)	I2a1b1a1a1																ds.half	S13891.Y1.E2.L1	PASS	..	I-Y3709	U5b1+16189+@16192	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.654091	0.785	0.014	0.62237	0.211	0.773	0.015	0.016	0.018	0.018	0.8	0.654091	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N	England.and.Wales_N	0.633754
	NC5m	I13892	P1107; 5142			FowlerOlaldeNature2021		5677	67	3932-3637 calBCE (4940±50 BP, GrA-24506)		England_N_Megalithic	England, Gloucestershire, Cheltenham, Hazleton North	United Kingdom	51.861211	-1.883011		1	2.16581	757352		M	United Kingdom, England, Gloucestershire, Cheltenham, Hazleton North Family A (2 members) (I13892-I13890 have a 2d or 3d relationship)	I2a1b1a1a1																ds.half	S13892.Y1.E2.L1	PASS	..	I-Y3709	T2e1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.753817	0.798	0.013	0.729206	0.199	0.787	0.014	0.015	0.017	0.018	0.8	0.753817	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N	England.and.Wales_N	0.768723
	NE4m	I13893	P1108; 5037-1			FowlerOlaldeNature2021		5517	62	3653-3380 calBCE (4800±50 BP, GrA-24504)		England_N_Megalithic	England, Gloucestershire, Cheltenham, Hazleton North	United Kingdom	51.861211	-1.883011		2	4.641	875943		M	n/a (no relatives detected)	I2a1b1a1a1																ds.half,ss.half	S13893.Y1.E2.L1,S20820.Y1.E1.L1	PASS	..	I-Y3709	K1a4	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.663033	0.796	0.013	0.35033	0.205	0.793	0.002	0.014	0.016	0.017	0.1	0.663033	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N	England.and.Wales_N	0.587367
	NE3m	I13897	P1122; 5120			FowlerOlaldeNature2021		5600	173	3950-3350 BCE		England_N_Megalithic	England, Gloucestershire, Cheltenham, Hazleton North	United Kingdom	51.861211	-1.883011		1	4.249435	790476		M	n/a (no relatives detected)	I2a1b1a1a1b																ds.half	S13897.Y1.E2.L1	PASS	..	I-Y3712	V	Context: Date(s) from same site (I13893, I21389, I13898, I13892)	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.228148	0.791	0.014	0.571582	0.2	0.77	0.029	0.015	0.017	0.017	1.7	0.571582	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N	England.and.Wales_N	0.833256
	NE1m	I13898	P1123; 5199; P6466			FowlerOlaldeNature2021		5569	65	3764-3521 calBCE (4850±50 BP, GrA-24508)		England_N_Megalithic	England, Gloucestershire, Cheltenham, Hazleton North	United Kingdom	51.861211	-1.883011		2	3.814117	883490		M	n/a (no relatives detected)	I2a1b1a1a1																ds.half,ds.half	S13898.Y1.E2.L1,S21386.Y1.E2.L1	PASS	..	I-Y3709	K1a3a1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.00022	0.821	0.013	0.474452	0.15	0.778	0.072	0.015	0.016	0.018	4.0	0.474452	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N_highSteppe	England.and.Wales_N	0.000477
	NC10m	I13899	P1124; 8336			FowlerOlaldeNature2021		5600	173	3950-3350 BCE		England_N_Megalithic	England, Gloucestershire, Cheltenham, Hazleton North	United Kingdom	51.861211	-1.883011		1	2.114702	752203		M	n/a (no relatives detected)	I2a1b1a1a1b																ds.half	S13899.Y1.E2.L1	PASS	..	I-Y3712	U3a1	Context: Date(s) from same site (I13893, I21389, I13898, I13892)	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.402728	0.793	0.013	0.26108	0.203	0.783	0.014	0.015	0.016	0.018	0.8	0.402728	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N	England.and.Wales_N	0.711653
	SE3m	I21385	P6480; 3666/3978; P6465			FowlerOlaldeNature2021		5600	173	3950-3350 BCE		England_N_Megalithic	England, Gloucestershire, Cheltenham, Hazleton North	United Kingdom	51.861211	-1.883011		2	3.3776	919180		M	England, Gloucestershire, Cheltenham, Hazleton North Family B (2 members) (I13890-I21385 have a 3d or more distant relationship)	I2a1a1b																ds.half,ds.half	S21385.Y1.E2.L1,S21396.Y1.E2.L1	PASS	..	I-S21825	K1d	Context: Date(s) from same site (I13893, I21389, I13898, I13892)	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.164583	0.802	0.013	0.056521	0.2	0.799	0.001	0.015	0.016	0.018	0.1	0.164583	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N	England.and.Wales_N	0.324615
	NC2f	I21390	P6470; 5880			FowlerOlaldeNature2021		5630	28	3761-3637 calBCE (4905±25 BP, PSUAMS-9677)		England_N_Megalithic	England, Gloucestershire, Cheltenham, Hazleton North	United Kingdom	51.861211	-1.883011		1	2.862	827951		F	n/a (no relatives detected)	n/a (female)																ds.half	S21390.Y1.E2.L1	PASS	..	n/a (female)	U8b1b	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	N	0.001391	0.769	0.014	0.427164	0.205	0.729	0.066	0.016	0.017	0.018	3.7	0.427164	Use	England.and.Wales_N	England.Southcentral_N	England.and.Wales_N_highSteppe	England.and.Wales_N	0.130754
	I7579	I7579	360			OlaldeNature2018		3349	53	1499-1299 calBCE (3135±35 BP, SUERC-25532)		England_MBA_sister.I7580	England, Bedfordshire, Biddenham Loop	United Kingdom	52.122402	-0.511365		1	3.341431	765567		F	n/a (no relatives detected)	n/a (female)																ds.half	S7579.E1.L1	PASS	extraction.negative.flag	n/a (female)	U5b2a1a	Direct: IntCal20	1240K	1.0	1.0	0.0	1.0	1.0	England.and.Wales	England.EastAnglia	MBA	0.0	0.624	0.014	0.822268	0.126	0.305	0.569	0.015	0.017	0.022	25.9	0.822268	Do not pool into main transects (1st degree relative of another higher coverage individual)	Ignore_England.and.Wales_MBA	Ignore_England.EastAnglia_MBA	Ignore_England.and.Wales_MBA	England.and.Wales_MBA	0.27114
	I7580	I7580	425			OlaldeNature2018		3087	61	1257-1016 calBCE (2935±35 BP, SUERC-25537)		England_MBA_lowEEF	England, Bedfordshire, Biddenham Loop	United Kingdom	52.122402	-0.511365		1	3.993794	770230		F	n/a (no relatives detected)	n/a (female)																ds.half	S7580.E1.L1	PASS	extraction.negative.flag	n/a (female)	U5b2a1a	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	LBA	0.0	0.587	0.015	0.842687	0.151	0.282	0.567	0.016	0.017	0.022	25.8	0.842687	Use	England.and.Wales_LBA	England.EastAnglia_LBA	England.and.Wales_LBA	England.and.Wales_LBA	0.084814
	I3023	I3023	SB 415A			BraceDiekmannNatureEcologyEvolution2019		5300	231	3750-2950 BCE		Wales_N	Wales, Brechnockshire, Hay-on-Wye, Little Lodge	United Kingdom	52.034891	-3.193573		1	0.110356	120512		M	n/a (no relatives detected)	I2a1a1b																ds.plus	S3023.L1	PASS	..	I-S21825	T / V22	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	Wales.South	N	0.000162	0.76	0.015	0.11953	0.206	0.698	0.095	0.017	0.021	0.024	4.0	0.11953	Use	England.and.Wales_N	Wales.South_N	England.and.Wales_N_highSteppe	England.and.Wales_N	0.007555
	I7568	I7568	896			OlaldeNature2018		3400	87	1600-1300 BCE		England_MBA	England, Needingworth Quarry, Over Narrows	United Kingdom	52.34	0.03		1	3.795249	769467		F	n/a (no relatives detected)	n/a (female)																ds.half	S7568.E1.L1	PASS	extraction.negative.flag	n/a (female)	W1+119	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	MBA	0.0	0.66	0.014	0.391137	0.137	0.325	0.538	0.014	0.017	0.021	25.6	0.391137	Use	England.and.Wales_MBA	England.EastAnglia_MBA	England.and.Wales_MBA	England.and.Wales_MBA	0.386737
	I7569	I7569	596			OlaldeNature2018		3484	41	1615-1453 calBCE (3266±30 BP, SUERC-74472)		England_C_EBA	England, Lincolnshire, Langtoft	United Kingdom	52.696301	-0.34		1	0.048296	55162		F	n/a (no relatives detected)	n/a (female)																ds.half	S7569.E1.L1	PASS	extraction.negative.flag	n/a (female)	K1a1b1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	MBA	0.0	0.649	0.022	0.029893	0.143	0.32	0.537	0.026	0.033	0.041	13.1	0.029893	Use	England.and.Wales_MBA	England.EastAnglia_MBA	England.and.Wales_MBA	England.and.Wales_MBA	0.287487
	I7570	I7570	3043			OlaldeNature2018		3569	53	1736-1534 calBCE (3347±30 BP, SUERC-74471)		England_C_EBA	England, Lincolnshire, Langtoft	United Kingdom	52.696301	-0.34		1	2.960615	760708		M	n/a (no relatives detected)	R1b1a1b1a1a2																ds.half	S7570.E1.L1	PASS	extraction.negative.flag, Xcontam=[0.006,0.012]	R-P312	T2b4+152	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	C.EBA	0.0	0.641	0.013	0.164569	0.149	0.326	0.525	0.014	0.018	0.022	23.9	0.164569	Use	England.and.Wales_C.EBA	England.EastAnglia_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.035875
	I7571	I7571	8389			OlaldeNature2018		3306	53	1489-1260 calBCE (3100±40 BP, SUERC-28364)		England_MBA	England, Needingworth Quarry, Over Narrows	United Kingdom	52.34	0.03		1	3.489105	756212		M	n/a (no relatives detected)	R1b1a1b1a1a2																ds.half	S7571.E1.L1	PASS	extraction.negative.flag	R-P312	J1c1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	MBA	0.0	0.637	0.013	0.035928	0.121	0.303	0.576	0.015	0.018	0.022	26.2	0.035928	Use	England.and.Wales_MBA	England.EastAnglia_MBA	England.and.Wales_MBA_o	England.and.Wales_MBA	0.003678
	I7572	I7572	8248			OlaldeNature2018		3380	50	1507-1306 calBCE (3160±40 BP, SUERC-28365)		England_MBA	England, Needingworth Quarry, Over Narrows	United Kingdom	52.34	0.03		1	1.200177	641448		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ds.half	S7572.E1.L1	PASS	extraction.negative.flag	R-L21	H13a1a	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	MBA	0.0	0.654	0.014	0.702924	0.134	0.336	0.53	0.015	0.017	0.021	25.2	0.702924	Use	England.and.Wales_MBA	England.EastAnglia_MBA	England.and.Wales_MBA	England.and.Wales_MBA	0.714556
	I7573	I7573	410			OlaldeNature2018		3520	35	1625-1507 calBCE (3306±27 BP, SUERC-44496)		England_C_EBA	England, Cambridgeshire, Fordham	United Kingdom	52.310608	0.386227		1	2.985658	709446		F	n/a (no relatives detected)	n/a (female)																ds.half	S7573.E1.L1	PASS	extraction.negative.flag	n/a (female)	H1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	C.EBA	0.0	0.619	0.014	0.312763	0.116	0.326	0.558	0.015	0.016	0.021	26.6	0.312763	Use	England.and.Wales_C.EBA	England.EastAnglia_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.613413
	I7574	I7574	6036			OlaldeNature2018		3271	50	1408-1226 calBCE (3055±30 BP, SUERC-38250)		England_MBA	England, Cambridgeshire, Trumpington, Clay Farm	United Kingdom	52.17839	0.122544		1	4.208989	788881		F	n/a (no relatives detected)	n/a (female)																ds.half	S7574.E1.L1	PASS	extraction.negative.flag, mtcontam=[0.963,0.979]	n/a (female)	H1a3	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	MBA	0.0	0.655	0.013	0.448528	0.125	0.291	0.584	0.014	0.018	0.022	26.5	0.448528	Use	England.and.Wales_MBA	England.EastAnglia_MBA	England.and.Wales_MBA	England.and.Wales_MBA	0.283861
	I7575	I7575	1100			OlaldeNature2018		3107	61	1266-1019 calBCE (2950±35 BP, SUERC-25498)		England_MBA	England, Bedfordshire, Biddenham Loop	United Kingdom	52.122402	-0.511365		1	3.84103	787595		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ds.half	S7575.E1.L1	PASS	extraction.negative.flag	R-L21	U5a1d1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	MBA	0.0	0.658	0.014	0.235799	0.121	0.348	0.531	0.015	0.017	0.022	24.1	0.235799	Use	England.and.Wales_MBA	England.EastAnglia_MBA	England.and.Wales_MBA	England.and.Wales_MBA	0.488673
	I7576	I7576	1113			OlaldeNature2018		3039	55	1209-1005 calBCE (2900±30 BP, SUERC-26285)		England_LBA	England, Bedfordshire, Biddenham Loop	United Kingdom	52.122402	-0.511365		1	2.807235	768996		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ds.half	S7576.E1.L1	PASS	extraction.negative.flag	R-DF13	J1c2	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	LBA	0.0	0.675	0.014	0.295588	0.133	0.374	0.493	0.015	0.018	0.021	23.5	0.295588	Use	England.and.Wales_LBA	England.EastAnglia_LBA	England.and.Wales_LBA	England.and.Wales_LBA	0.298273
	I7577	I7577	1115			OlaldeNature2018		3198	69	1386-1123 calBCE (3005±35 BP, SUERC-25499)		England_MBA	England, Bedfordshire, Biddenham Loop	United Kingdom	52.122402	-0.511365		1	3.494553	762654		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ds.half	S7577.E1.L1	PASS	extraction.negative.flag, Xcontam=[0.005,0.011]	R-DF13	U5a1a1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	MBA	0.0	0.676	0.013	0.105698	0.134	0.332	0.534	0.014	0.019	0.022	24.3	0.105698	Use	England.and.Wales_MBA	England.EastAnglia_MBA	England.and.Wales_MBA	England.and.Wales_MBA	0.220191
	I7578	I7578	2528			OlaldeNature2018		3080	61	1256-1013 calBCE (2930±35 BP, SUERC-25497)		England_MBA	England, Bedfordshire, Biddenham Loop	United Kingdom	52.122402	-0.511365		1	3.878426	775505		F	n/a (no relatives detected)	n/a (female)																ds.half	S7578.E1.L1	PASS	extraction.negative.flag	n/a (female)	U5a2c	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	LBA	0.0	0.634	0.014	0.144877	0.146	0.322	0.532	0.015	0.018	0.022	24.2	0.144877	Use	England.and.Wales_LBA	England.EastAnglia_LBA	England.and.Wales_LBA	England.and.Wales_LBA	0.163126
	I7626	I7626	556			OlaldeNature2018		3231	65	1399-1130 calBCE (3025±35 BP, SUERC-25533)		England_MBA	England, Bedfordshire, Biddenham Loop	United Kingdom	52.122402	-0.511365		1	3.094021	767959		F	n/a (no relatives detected)	n/a (female)																ds.half	S7626.E1.L1	PASS	..	n/a (female)	T2b	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	MBA	0.0	0.668	0.013	0.857756	0.122	0.328	0.55	0.015	0.018	0.022	25.0	0.857756	Use	England.and.Wales_MBA	England.EastAnglia_MBA	England.and.Wales_MBA	England.and.Wales_MBA	0.93857
	I7627	I7627	1327			OlaldeNature2018		3268	54	1412-1222 calBCE (3055±35 BP, SUERC-25538)		England_MBA	England, Bedfordshire, Biddenham Loop	United Kingdom	52.122402	-0.511365		1	4.199714	779700		F	n/a (no relatives detected)	n/a (female)																ds.half	S7627.E1.L1	PASS	..	n/a (female)	U4a	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	MBA	0.0	0.682	0.013	0.008733	0.131	0.349	0.519	0.014	0.018	0.021	24.7	0.008733	Use	Ignore_England.and.Wales_MBA	Ignore_England.EastAnglia_MBA	Ignore_England.and.Wales_MBA	England.and.Wales_MBA	0.09966
	I7628	I7628	10423			OlaldeNature2018		3033	61	1212-983 calBCE (2895±35 BP, SUERC-25541)		England_LBA	England, Bedfordshire, Biddenham Loop	United Kingdom	52.122402	-0.511365		1	0.522439	402202		M	n/a (no relatives detected)	R1b1a1b1a1a2c1a4b3a																ds.half	S7628.E1.L1	PASS	..	R-FGC3236	T1a1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	LBA	0.0	0.639	0.014	0.834294	0.156	0.339	0.505	0.015	0.018	0.022	23.0	0.834294	Use	England.and.Wales_LBA	England.EastAnglia_LBA	England.and.Wales_LBA	England.and.Wales_LBA	0.763557
	I7630	I7630	ERYM5:2003:115, Sk1009			OlaldeNature2018		3734	58	1881-1689 calBCE (3458±27 BP, SUERC-72661) 		England_C_EBA	England, Yorkshire, East Riding, North Ferriby, Melton Quarry	United Kingdom	53.726187	-0.529641		1	0.014381	16872		M	n/a (no relatives detected)	R1b1a1b1a1a2																ds.half	S7630.E1.L1	PASS	..	R-P312	U5a1b	Direct: IntCal20	1240K	0.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	C.EBA	0.0	0.666	0.037	0.380526	0.12	0.333	0.547	0.042	0.051	0.062	8.8	0.380526	Do not pool into main transects (<30000 SNPs)	Ignore_England.and.Wales_C.EBA	Ignore_England.EastYorkshire_C.EBA	Ignore_England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.71107
	I7635	I7635	SB441A			OlaldeNature2018		4030	50	2196-1976 calBCE (3690±28 BP, BRAMS-1286)		England_C_EBA	England, County Durham, Stockton-on-Tees, Windmill Fields	United Kingdom	54.522812	-1.308134		1	0.619524	482608		F	n/a (no relatives detected)	n/a (female)																ds.half	S7635.E1.L1	PASS	..	n/a (female)	H1c	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.North	C.EBA	0.0	0.653	0.014	0.65677	0.136	0.323	0.541	0.016	0.019	0.023	23.5	0.65677	Use	England.and.Wales_C.EBA	England.North_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.968169
	I7638	I7638	SB532A			OlaldeNature2018		3995	116	2288-1776 calBCE (3660±80 BP, OxA-4357)		England_C_EBA	England, Oxfordshire, Radley, Barrow Hills	United Kingdom	51.405327	-1.150767		1	0.876881	590025		M	n/a (no relatives detected)	I2a1b1a1a1																ds.half	S7638.E1.L1	QUESTIONABLE	Xcontam=[0.01,0.031]	I-Y3709	V10b	Direct: IntCal20	1240K	1.0	0.0	1.0	1.0	1.0	England.and.Wales	England.Southcentral	C.EBA	0.0	0.67	0.014	0.343078	0.112	0.309	0.579	0.015	0.019	0.022	26.3	0.343078	Do not pool into main transects (QUESTIONABLE)	Ignore_England.and.Wales_C.EBA	Ignore_England.Southcentral_C.EBA	Ignore_England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.60248
	I7639	I7639	SB548A			OlaldeNature2018		3797	98	2033-1635 calBCE (3520±70 BP, HAR-3880)		England_C_EBA	England, Cambridgeshire, Chippenham, Waterhall Farm	United Kingdom	52.276938	0.461902		1	0.052348	59570		F	n/a (no relatives detected)	n/a (female)																ds.half	S7639.E1.L1	PASS	damage.ds.half=0.048	n/a (female)	..	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	C.EBA	0.0	0.672	0.025	0.258013	0.112	0.281	0.608	0.025	0.031	0.038	16.0	0.258013	Use	England.and.Wales_C.EBA	England.EastAnglia_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.729871
	I7640	I7640	SB617A			OlaldeNature2018		3307	45	1434-1278 calBCE (3100±30 BP, SUERC-28349)		England_MBA	England, Cambridgeshire, Trumpington, Clay Farm	United Kingdom	52.17839	0.122544		1	3.615529	784623		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ds.half	S7640.E1.L1	PASS	..	R-Z2185	U5a2c2	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastAnglia	MBA	0.0	0.657	0.013	0.650028	0.149	0.331	0.52	0.014	0.018	0.022	23.6	0.650028	Use	England.and.Wales_MBA	England.EastAnglia_MBA	England.and.Wales_MBA	England.and.Wales_MBA	0.133902
	S_Jordanian-2.DG	Jordan603	Jordan603			MallickNature2016	Modern	0	0	present		Jordanian.DG	Jordan migrants sampled in Kuwait	Jordan	32.054645	35.914307	Shotgun.diploid		36.71	1120321		M		J1a2a1a2d2b2b2c4d2a2a4a2~																		PASS	SGDP, Fully Public	J-Y68075	..																								Jordanian.DG				
	S_Spanish-1.DG	HG01503	HG01503			MallickNature2016		0	0	present		Spanish.DG	Castilla la Mancha	Spain	39.9	-4		1	35.67	1119081		M	n/a (no relatives detected)	R1b1a1b1a1a2c1a4b2d1a~																n/a (modern)	S_Spanish-1	PASS	SGDP, Fully Public	R-A4945	..	Modern	Shotgun.diploid	1.0	1.0	1.0	0.0	1.0	Spain.Portugal	Spain	Modern	0.0	0.758	0.011	0.000531	0.115	0.53	0.356	0.012	0.016	0.018	19.8	0.000531	Use	Ignore_Spain.Portugal_Modern	Ignore_Spain_Modern	Ignore_Spain.Portugal_Modern	Spain.Portugal_Modern	0.124279
	S_Jordanian-3.DG	Jordan214	Jordan214			MallickNature2016	Modern	0	0	present		Jordanian.DG	Jordan migrants sampled in Kuwait	Jordan	32.054645	35.914307	Shotgun.diploid		39.5	1120271		M		T1a1a1b2b2b1a																		PASS	SGDP, Fully Public	T-B251	..																								Jordanian.DG				
315.0	S_Adygei-1.DG	HGDP01402	HGDP01402		2016	MallickNature2016	Modern	0	0	present	..	Adygei.DG	Krasnodar	Russia	44	39	Shotgun.diploid	1	41.57	1118112	..	M	n/a (no relatives detected)	R1a1a1b1a1a1c1g1~	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	S_Adygei-1	PASS	SGDP, Fully Public																										Adygei.DG				
318.0	S_French-1.DG	HGDP00530	..	..	2016	MallickNature2016	Modern	0	0	present	..	French.DG	..	France	46	2	Shotgun.diploid	1	44.26	1115967	..	M	n/a (no relatives detected)	J2a1a1a2b2a1a1a~	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	PASS	SGDP, Fully Public																										French.DG				
